Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
0.2,0.04,False,4104,cyclic,False,8.749079210093633e-07,0.30999169540973165
2.6,0.32,False,4372,random,False,7.86718208420173e-07,0.8426425783524291
4.3,0.4,True,1092,random,False,6.685650591272846e-07,0.3477130591452584
3.7,0.78,True,3590,cyclic,False,5.955631227558159e-07,0.3477130591452584
0.9,0.21,False,1139,cyclic,True,4.5261783968142195e-07,0.5240501068529545
6.0,1.0,True,4199,random,True,6.68161539671678e-07,0.3477130591452584
2.3000000000000003,0.77,False,3594,random,False,4.321491078505487e-07,0.8426425783524291
5.800000000000001,0.72,True,4944,cyclic,False,1.20421861156514e-07,0.3477130591452584
9.700000000000001,0.25,True,1391,random,False,2.5761810114867667e-07,0.3477130591452584
5.800000000000001,0.96,False,3543,random,True,7.322266077003529e-08,0.8426425783524291
9.200000000000001,0.8200000000000001,True,1948,random,False,9.365679463409304e-07,0.3477130591452584
7.7,0.4,True,736,random,True,8.140605452503676e-07,0.3477130591452584
5.800000000000001,0.34,False,3567,random,True,8.604031526809809e-07,0.8426425783524291
9.0,0.1,True,3677,cyclic,True,2.7447285145826846e-08,0.3477130591452584
5.800000000000001,0.56,True,4938,random,False,4.628639189871548e-07,0.3477130591452584
7.5,0.74,True,4006,random,True,3.9605326150058813e-07,0.3477130591452584
0.8,0.4,True,4671,random,True,6.908036879216264e-07,0.3477130591452584
5.7,0.68,False,4948,random,True,2.9598207374489886e-07,0.8426425783524291
6.4,0.8200000000000001,False,4747,cyclic,True,7.572921816001997e-07,0.8426425783524291
5.4,0.84,False,3571,random,False,4.418087093451537e-09,0.8426425783524291
0.7000000000000001,0.97,False,3742,random,False,6.08869592628449e-07,0.8426425783524291
9.200000000000001,0.67,False,2801,random,False,7.289317919015046e-09,0.8426425783524291
1.7000000000000002,0.59,False,3583,cyclic,False,9.837986242025168e-07,0.8426425783524291
4.7,0.24,False,940,random,True,4.49938250674429e-07,0.8426425783524291
2.0,0.6,True,4470,random,True,3.987479269321466e-07,0.3477130591452584
1.0,0.45,True,2966,random,False,3.0854965082824464e-07,0.3477130591452584
6.1000000000000005,0.42,True,4902,cyclic,False,7.442007426223187e-07,0.3477130591452584
4.3,0.15,False,1319,random,True,7.208155768558204e-08,0.8418762356623016
0.7000000000000001,0.98,False,4059,random,True,2.023760784002214e-08,0.8426425783524291
9.200000000000001,0.03,True,1925,random,False,7.715472735253854e-07,0.3477130591452584
6.5,0.79,False,1161,cyclic,False,9.557045656900682e-07,0.8426425783524291
5.6000000000000005,0.61,True,1484,cyclic,True,5.792826275021933e-07,0.3477130591452584
0.9,0.02,False,1459,cyclic,False,8.677570129524569e-07,0.40494982436237864
3.9000000000000004,0.6900000000000001,True,1984,random,False,3.0230843438501803e-07,0.3477130591452584
2.8000000000000003,0.34,True,3026,cyclic,True,8.420134446064127e-07,0.3477130591452584
9.5,0.99,True,776,cyclic,False,1.218969832769804e-07,0.3477130591452584
3.3000000000000003,0.11,False,2374,cyclic,True,5.066101005794386e-07,0.7828548512954834
0.7000000000000001,0.12,False,1021,cyclic,False,4.0163404414768976e-07,0.42157113672551577
1.9000000000000001,0.13,False,3889,random,False,4.171279968122697e-07,0.6453575158884909
0.8,0.97,True,3367,random,True,7.221835339819458e-07,0.3477130591452584
4.800000000000001,0.78,True,1588,cyclic,False,2.129821353699678e-09,0.3477130591452584
1.7000000000000002,0.54,False,1907,random,False,8.283380561431949e-08,0.8426425783524291
0.5,0.66,True,2230,cyclic,True,2.8287234337352805e-07,0.3477130591452584
9.3,0.9500000000000001,True,3205,cyclic,False,5.170617609056017e-07,0.3477130591452584
8.5,0.15,False,1843,cyclic,False,6.513030401725838e-07,0.8426425783524291
2.1,0.06,False,2329,random,True,6.882969936432034e-07,0.5537238092616358
5.7,0.76,False,4214,cyclic,False,3.112541315796565e-08,0.8426425783524291
6.300000000000001,0.0,False,4296,random,True,5.471669947925788e-07,0.6250260426479611
8.3,0.07,False,1414,cyclic,False,6.959886603686531e-08,0.8409235703919234
7.800000000000001,0.58,True,546,cyclic,False,9.94140589170887e-07,0.3477130591452584
6.300000000000001,0.8200000000000001,False,2657,cyclic,False,6.774672761478509e-07,0.8426425783524291
1.6,0.67,True,1357,cyclic,False,5.381548687006598e-07,0.3477130591452584
3.4000000000000004,0.91,True,1385,cyclic,True,2.3461417808633822e-07,0.3477130591452584
1.1,0.42,True,2884,random,False,8.864461572008751e-07,0.3477130591452584
3.9000000000000004,0.87,True,1284,random,True,5.062294617682242e-07,0.3477130591452584
8.3,0.9400000000000001,True,2322,cyclic,False,3.3576877055791665e-07,0.3477130591452584
4.9,0.26,False,2514,cyclic,True,3.6730819637660794e-07,0.8426425783524291
5.4,0.2,True,1702,cyclic,True,3.121354587839958e-07,0.3477130591452584
3.6,0.79,True,1364,cyclic,False,7.482442321682589e-07,0.3477130591452584
7.300000000000001,0.77,True,899,cyclic,True,2.894267480395639e-07,0.3477130591452584
7.2,0.1,True,3354,cyclic,False,5.08470398332121e-07,0.3477130591452584
9.1,0.64,True,2921,random,True,6.863250242717422e-07,0.3477130591452584
0.1,0.5700000000000001,True,602,random,False,8.895087346845657e-07,0.2585323466333014
0.8,0.54,True,890,cyclic,False,3.7211657885882973e-07,0.3477130591452584
1.9000000000000001,0.56,False,3724,cyclic,True,4.3473890532164174e-07,0.8426425783524291
3.7,0.66,False,810,cyclic,True,2.6077193783350166e-08,0.8426425783524291
8.9,0.39,True,2305,random,True,9.293263116489806e-07,0.3477130591452584
2.5,0.74,True,705,random,True,4.979868855769281e-07,0.3477130591452584
2.0,0.31,True,4875,cyclic,True,6.355092793456198e-07,0.3477130591452584
2.0,0.7000000000000001,False,4400,random,True,4.812363454379516e-08,0.8426425783524291
7.0,0.11,True,1642,random,False,7.219042238522022e-07,0.3477130591452584
4.1000000000000005,0.79,True,3924,cyclic,True,3.1226119975652253e-07,0.3477130591452584
3.0,0.81,False,3645,random,False,2.532101458042763e-07,0.8426425783524291
5.5,0.97,False,996,cyclic,False,9.333861839340526e-07,0.8426425783524291
2.2,0.12,True,4885,cyclic,False,3.8981944852587844e-07,0.3477130591452584
6.9,0.3,True,4851,random,True,8.426800622428719e-07,0.3477130591452584
9.200000000000001,0.91,True,2202,random,False,5.061949873701288e-07,0.3477130591452584
3.9000000000000004,0.27,True,2547,cyclic,True,5.517387734665285e-07,0.3477130591452584
2.3000000000000003,0.78,False,4039,cyclic,True,8.438198582302873e-08,0.8426425783524291
